                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2683,                0.79785,                0.97064,                0.65895,                0.40109,                 0.4425,                0.24752,                 1.2467,                0.74746,                0.94665,             0.00058244,             0.00058244,             0.00058244
                     47,                  1.265,                0.79443,                0.97019,                0.66174,                 0.4026,                0.44369,                 0.2482,                  1.246,                0.74654,                0.94635,             0.00056704,             0.00056704,             0.00056704
                     48,                 1.2669,                 0.7946,                 0.9703,                0.66554,                0.40072,                0.44441,                0.24885,                 1.2453,                0.74552,                0.94597,             0.00055158,             0.00055158,             0.00055158
                     49,                  1.264,                0.79299,                0.96976,                 0.6673,                0.40125,                0.44453,                 0.2491,                 1.2447,                0.74467,                0.94565,             0.00053608,             0.00053608,             0.00053608
                     50,                 1.2631,                0.79045,                0.96917,                0.66351,                 0.4041,                0.44554,                0.24953,                  1.244,                0.74384,                 0.9453,             0.00052055,             0.00052055,             0.00052055
                     51,                 1.2624,                0.79018,                0.96871,                0.65735,                0.40659,                0.44579,                0.24996,                 1.2432,                0.74285,                0.94496,               0.000505,               0.000505,               0.000505
                     52,                 1.2605,                0.78888,                0.96841,                 0.6607,                0.40662,                0.44666,                0.25051,                 1.2426,                0.74212,                0.94468,             0.00048945,             0.00048945,             0.00048945
                     53,                 1.2598,                0.78689,                0.96769,                0.66487,                0.40705,                0.44716,                0.25095,                  1.242,                0.74118,                0.94437,             0.00047392,             0.00047392,             0.00047392
                     54,                 1.2572,                0.78584,                0.96704,                0.66263,                0.40766,                0.44762,                0.25125,                 1.2414,                0.74049,                0.94406,             0.00045842,             0.00045842,             0.00045842
                     55,                 1.2572,                0.78436,                0.96717,                 0.6651,                0.40684,                0.44837,                0.25155,                 1.2408,                0.73951,                 0.9438,             0.00044296,             0.00044296,             0.00044296
                     56,                 1.2567,                0.78462,                0.96708,                0.66637,                0.40745,                0.44904,                0.25178,                 1.2402,                0.73869,                0.94353,             0.00042756,             0.00042756,             0.00042756
                     57,                  1.256,                0.78168,                0.96608,                0.67157,                0.40694,                0.44955,                0.25233,                 1.2398,                0.73812,                0.94328,             0.00041225,             0.00041225,             0.00041225
                     58,                 1.2543,                0.78049,                0.96585,                0.66587,                0.41055,                0.45055,                0.25269,                 1.2392,                0.73724,                0.94299,             0.00039702,             0.00039702,             0.00039702
                     59,                 1.2516,                0.77874,                 0.9654,                0.66943,                0.41045,                0.45116,                0.25313,                 1.2386,                0.73657,                0.94275,              0.0003819,              0.0003819,              0.0003819
                     60,                 1.2502,                0.77808,                0.96445,                 0.6714,                0.40943,                0.45194,                0.25362,                 1.2381,                0.73599,                 0.9425,              0.0003669,              0.0003669,              0.0003669
                     61,                 1.2503,                0.77659,                0.96471,                0.66923,                0.41061,                 0.4526,                0.25435,                 1.2376,                0.73542,                0.94229,             0.00035204,             0.00035204,             0.00035204
                     62,                 1.2488,                0.77562,                0.96384,                0.67058,                0.41037,                  0.453,                0.25448,                 1.2372,                0.73482,                0.94205,             0.00033732,             0.00033732,             0.00033732
                     63,                 1.2465,                0.77445,                0.96335,                 0.6699,                0.40991,                0.45281,                 0.2547,                 1.2366,                0.73424,                0.94175,             0.00032278,             0.00032278,             0.00032278
                     64,                 1.2463,                0.77312,                0.96302,                0.66787,                0.41292,                0.45369,                0.25515,                 1.2362,                0.73374,                0.94153,             0.00030841,             0.00030841,             0.00030841
                     65,                 1.2461,                0.77186,                0.96267,                0.67202,                0.41234,                0.45475,                0.25548,                 1.2359,                0.73329,                0.94127,             0.00029424,             0.00029424,             0.00029424
                     66,                 1.2461,                0.77142,                0.96258,                  0.672,                0.41317,                0.45504,                0.25568,                 1.2355,                0.73284,                0.94105,             0.00028027,             0.00028027,             0.00028027
                     67,                 1.2437,                0.76983,                0.96294,                0.67305,                0.41228,                0.45551,                0.25596,                 1.2352,                0.73239,                 0.9409,             0.00026653,             0.00026653,             0.00026653
                     68,                 1.2435,                0.76885,                0.96171,                0.67325,                0.41176,                0.45602,                0.25615,                 1.2348,                0.73202,                0.94073,             0.00025302,             0.00025302,             0.00025302
                     69,                 1.2417,                0.76719,                0.96178,                0.67586,                0.41301,                0.45697,                0.25663,                 1.2345,                0.73167,                0.94059,             0.00023977,             0.00023977,             0.00023977
                     70,                 1.2419,                0.76572,                0.96138,                0.67045,                0.41595,                0.45748,                0.25682,                 1.2343,                0.73129,                0.94036,             0.00022677,             0.00022677,             0.00022677
                     71,                 1.2395,                0.76528,                0.96085,                 0.6764,                0.41295,                0.45753,                 0.2569,                 1.2341,                0.73095,                0.94027,             0.00021405,             0.00021405,             0.00021405
                     72,                 1.2396,                 0.7643,                0.96053,                0.67581,                0.41267,                0.45808,                0.25717,                 1.2337,                0.73056,                0.94008,             0.00020161,             0.00020161,             0.00020161
                     73,                 1.2408,                0.76449,                0.96086,                0.67615,                0.41304,                 0.4585,                0.25741,                 1.2333,                0.73031,                0.93985,             0.00018948,             0.00018948,             0.00018948
                     74,                 1.2384,                 0.7624,                0.95966,                 0.6767,                0.41404,                0.45905,                0.25753,                  1.233,                0.72998,                0.93969,             0.00017765,             0.00017765,             0.00017765
                     75,                 1.2368,                0.76113,                0.95998,                0.67569,                0.41469,                0.45927,                0.25767,                 1.2327,                0.72965,                0.93955,             0.00016615,             0.00016615,             0.00016615
                     76,                 1.2349,                0.75905,                0.95921,                0.67685,                0.41481,                0.45972,                0.25803,                 1.2324,                0.72934,                0.93942,             0.00015498,             0.00015498,             0.00015498
                     77,                 1.2358,                0.76036,                0.95936,                0.67775,                0.41451,                0.45968,                0.25806,                 1.2324,                0.72906,                0.93932,             0.00014416,             0.00014416,             0.00014416
                     78,                 1.2347,                0.75923,                0.95895,                0.67795,                0.41539,                0.45992,                0.25828,                 1.2322,                0.72881,                0.93923,              0.0001337,              0.0001337,              0.0001337
                     79,                 1.2358,                  0.759,                0.95874,                0.67849,                0.41527,                0.46026,                0.25854,                  1.232,                0.72873,                0.93914,              0.0001236,              0.0001236,              0.0001236
                     80,                 1.2335,                0.75736,                0.95876,                0.67584,                0.41637,                0.46072,                0.25877,                 1.2318,                0.72851,                0.93902,             0.00011387,             0.00011387,             0.00011387
                     81,                 1.2326,                0.75682,                0.95834,                 0.6775,                0.41561,                0.46156,                0.25902,                 1.2316,                0.72832,                0.93889,             0.00010454,             0.00010454,             0.00010454
                     82,                 1.2332,                0.75689,                0.95885,                0.67516,                0.41694,                0.46182,                0.25902,                 1.2315,                0.72822,                0.93891,             9.5595e-05,             9.5595e-05,             9.5595e-05
                     83,                 1.2331,                0.75593,                0.95895,                0.67609,                0.41566,                0.46164,                0.25892,                 1.2316,                0.72814,                0.93886,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     84,                 1.2308,                0.75521,                0.95792,                0.67598,                0.41624,                0.46184,                0.25874,                 1.2316,                0.72805,                0.93887,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     85,                 1.2312,                0.75464,                0.95841,                0.67507,                0.41627,                0.46199,                0.25893,                 1.2316,                0.72799,                0.93877,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     86,                 1.2319,                0.75433,                0.95795,                0.67441,                0.41671,                0.46241,                0.25909,                 1.2317,                0.72785,                0.93878,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     87,                 1.2292,                 0.7535,                0.95729,                0.67444,                0.41701,                0.46256,                0.25908,                 1.2318,                0.72773,                0.93872,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     88,                   1.23,                0.75286,                0.95805,                 0.6739,                0.41664,                0.46223,                0.25928,                 1.2317,                0.72755,                0.93871,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     89,                 1.2301,                0.75329,                0.95824,                0.67482,                0.41651,                0.46239,                0.25928,                 1.2316,                0.72748,                0.93869,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     90,                 1.2283,                0.75115,                0.95726,                0.67344,                0.41685,                0.46221,                0.25913,                 1.2318,                0.72744,                 0.9387,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     91,                 1.2618,                0.75308,                0.96164,                0.67515,                0.41513,                0.46209,                0.25894,                 1.2321,                0.72774,                0.93882,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     92,                 1.2583,                0.74846,                0.95998,                0.67477,                0.41546,                0.46206,                0.25885,                  1.232,                0.72784,                0.93879,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     93,                 1.2558,                 0.7468,                0.95936,                0.67491,                0.41569,                0.46195,                 0.2588,                 1.2321,                0.72802,                 0.9388,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     94,                  1.255,                0.74503,                0.95846,                0.67669,                0.41476,                0.46161,                0.25865,                 1.2322,                0.72811,                0.93882,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     95,                 1.2539,                0.74448,                0.95859,                0.67273,                0.41598,                0.46153,                0.25857,                 1.2322,                0.72825,                0.93883,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     96,                 1.2543,                0.74426,                0.95848,                0.67087,                0.41762,                 0.4617,                0.25867,                 1.2323,                0.72834,                0.93881,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     97,                  1.253,                0.74343,                0.95824,                0.67207,                0.41743,                0.46173,                0.25859,                 1.2323,                0.72859,                0.93885,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     98,                 1.2526,                0.74301,                0.95829,                0.67528,                0.41711,                0.46183,                0.25846,                 1.2323,                0.72876,                0.93884,             1.2197e-05,             1.2197e-05,             1.2197e-05
                     99,                 1.2525,                0.74311,                0.95802,                0.67506,                0.41683,                0.46163,                0.25859,                 1.2324,                0.72888,                0.93888,             1.0977e-05,             1.0977e-05,             1.0977e-05
                    100,                 1.2531,                0.74292,                0.95832,                0.67299,                0.41775,                0.46155,                0.25854,                 1.2324,                0.72895,                0.93888,             1.0244e-05,             1.0244e-05,             1.0244e-05
